Title;Genre ID;Publisher;Stadia release date;Original release date
Trivial Pursuit Live! 2;13;Ubisoft;2022.03.17;2022.03.17
Trollhunters: Defenders of Arcadia;1;Outright Games;2022.01.25;2020.09.25
Uno;6;Ubisoft;2020.09.15;2016.08.16
Uno: 50th Anniversary;6;Ubisoft;2021.06.03;2021.06.03
Unto the End;14;Big Sugar;2020.12.09;2020.12.09
Valkyria Chronicles 4;19;Sega;2020.12.08;2018.03.21
Watch Dogs;2;Ubisoft;2020.12.09;2014.05.27
Watch Dogs 2;2;Ubisoft;2020.12.09;2016.11.15
Watch Dogs: Legion;2;Ubisoft;2020.10.29;2020.10.29
Wave Break;22;Funktronic Labs;2020.06.23;2020.06.23
Wavetale;2;Thunderful Publishing;2021.11.10;2021.11.10
Welcome to Elk;2;Triple Topping;2021.02.23;2020.09.17
West of Loathing;2;Asymmetric Productions;2020.07.01;2017.08.10
Windbound;24;Koch Media;2020.08.28;2020.08.28
Windjammers 2;22;Dotemu;2022.01.20;2022.01.20
Wolfenstein: Youngblood;19;Bethesda Softworks;2019.11.19;2019.07.26
World War Z: Aftermath;19;Saber Interactive Inc;2022.04.05;2021.09.21
Worms W.M.D;23;Team17;2022.07.01;2016.08.23
Wreckfest;16;THQ Nordic;2021.12.01;2018.06.14
WWE 2K Battlegrounds;22;2K Sports;2020.09.18;2020.09.18
Young Souls;18;The Arcade Crew;2021.08.17;2021.08.17
Ys IX: Monstrum Nox;1;NIS America;2021.07.06;2019.09.26
Ys VIII: Lacrimosa of Dana;1;NIS America;2021.04.01;2016.07.21
Zombie Army 4: Dead War;19;Rebellion Developments;2020.05.01;2020.02.04
Zorro: The Chronicles;2;BTC Studios;2022.06.16;2022.06.16
